,0
530,-3.192906317327303
531,-5.265137114983631
532,-3.7213422368306026
533,-3.2163874097412344
534,-3.9906885636517444
535,-3.7136645552277336
536,-5.6973258301515415
537,-3.1382471554395037
538,-4.1748873992723965
539,-4.795039018003263
540,-2.9334034789434984
541,-3.1295918745444533
542,-3.852205042077138
543,-4.403638470737665
544,-2.939065333189008
545,-3.8355395360635365
546,-4.922546332431233
547,-3.0283488401576655
548,-2.335334870201821
549,-3.4756651640973475
550,-4.237121880029329
551,-4.2249711962730085
552,-5.1560307026050065
553,-4.3127903438960535
554,-2.5090953545282764
555,-4.702179815730633
556,-4.033663873296323
557,-4.83581796997302
558,-3.9747281126198186
559,-4.236964612828395
560,-3.465571072502153
561,-4.647009890683048
562,-4.479074632167685
563,-3.9813678776917945
564,-4.1017566482684815
565,-3.820244565928253
566,-4.5261054874238
567,-4.8775617392395585
568,-4.2184802292877315
569,-4.545983418631055
570,-4.453381643259335
571,-3.4958173997718
572,-2.5100141776164406
573,-3.3635688565774533
574,-4.1050118848762
575,-3.8571950471820786
576,-2.5546534163411487
577,-4.4091056603842524
578,-3.4120289611606562
579,-2.6321314995610683
580,-0.5052039798322727
581,-2.4079000718405186
582,-3.129244109201816
583,-2.4285974697737625
584,-1.6282944454319082
585,-2.1415677876317636
586,-1.9408988439871966
587,-3.380539836507731
588,-1.2940208265630464
589,2.1619869914344387
590,-4.978148719012469
591,-3.353843916275045
592,-3.630894587711941
593,-4.59102275975161
594,-3.835761170434603
595,-5.176937309336251
596,-3.5514798695683822
597,-4.4584097063445824
598,-4.058902210998683
599,-4.049978926734525
600,-3.301594718521459
601,-3.7402404736083956
602,-3.4122075561594594
603,-3.82167314097564
604,-3.232229507350751
605,-4.052457679003332
606,-3.157702505019832
607,-3.8542992135354477
608,-4.32267767096637
609,-4.573653849117854
610,-3.9386225272792403
611,-4.076889224702404
612,-3.85958152344155
613,-4.086191924043862
614,-1.8629773425570924
615,-3.775542888642072
616,-4.039235868069376
617,-3.342591962341193
618,-2.9867325551052355
619,-2.984857313965334
620,-3.7955752934862605
621,-2.4369134250741196
622,-1.2285350457741129
623,-2.238275648087396
624,-1.7039079687428638
625,-1.272140392226623
626,-1.642638150994642
627,-2.684621679519589
628,-1.9361620382073979
629,-1.173790771797222
630,0.953253580150859
631,-5.3784520599269
632,-3.586520029734297
633,-3.6883819386100734
634,-4.035069759374478
635,-4.221788225311631
636,-4.7964039258403774
637,-3.647271804165026
638,-3.6142610914767612
639,-3.845829050098226
640,-4.3763212755888805
641,-5.146853326968794
642,-4.526602596228704
643,-4.6607260410240645
644,-3.5784904238949493
645,-3.482233496225808
646,-3.2548123645018077
647,-4.503901417515431
648,-4.440584638516848
649,-3.4631311327643655
650,-5.47536272432359
651,-3.082375288019055
652,-5.272662083157527
653,-5.018522719591541
654,-4.4511096358344195
655,-4.428922835818058
656,-3.441540648837311
657,-3.400403066383997
658,-4.058902720147229
659,-3.6847169968295317
660,-2.7086202935695884
661,-3.206439825320083
662,-2.2933927773783136
663,-3.729239622058228
664,-1.8977669855001646
665,-2.409411423491975
666,-3.31534383841342
667,-2.1953435533194967
668,-0.7202145938413964
669,-2.139590024377825
670,-1.64651791020542
671,2.0297058062355724
672,-4.302080241878082
673,-4.5582289337849256
674,-4.086267017932768
675,-2.9682244852636375
676,-4.0918003065931075
677,-3.6826255140582616
678,-2.350715177421203
679,-2.5179033325477516
680,-3.065069949866901
681,-3.67863170922054
682,-3.707877836913699
683,-2.567719344621065
684,-2.9967710410745463
685,-1.7555046183824952
686,-3.4044432926682453
687,-3.3552491307378967
688,-2.238344176155121
689,-1.490378231596313
690,-4.688966220514251
691,-3.961454054155895
692,-3.053441676261781
693,-4.036206285943343
694,-3.384161278815387
695,-3.8890847164154305
696,-3.687280602939196
697,-4.367971386830673
698,-3.1753162485026083
699,-4.180594486946334
700,-3.3066530133772982
701,-4.810048110400976
702,-5.025497800316618
703,-5.500418181681928
704,-4.101555924934783
705,-3.6788718458155505
706,-3.64779635846518
707,-3.335964121850724
708,-3.9059382103476565
709,-3.5295882808385626
710,-4.53492481455248
711,-4.800496842088975
712,-3.857436560474895
713,-5.219913724003346
714,-4.192227340937609
715,-4.269847855495357
716,-3.185211259694394
717,-2.461333377549801
718,-3.152239564021669
719,-2.718068483530377
720,-3.7277993949047934
721,-2.8679529531518115
722,-3.4064297476655945
723,-2.8056871737180953
724,-3.007205534696205
725,-2.206068161397594
726,-1.7611207446045034
727,-3.6460203558953665
728,-2.008495333955152
729,-2.202460755309197
730,0.5027269654908291
731,-4.017983463652406
732,-3.3965836876535125
733,-4.04855365785083
734,-4.279340035179133
735,-3.8061187519139823
736,-3.6585524800994387
737,-3.923280882382847
738,-5.0744639888164045
739,-2.519526339902719
740,-4.477876590736148
741,-4.19316978462204
742,-4.747743670040119
743,-4.858368371594219
744,-4.34673396330657
745,-3.3270283799559577
746,-4.313503642549426
747,-3.6755733759573532
748,-3.6895415015340975
749,-3.116885268444163
750,-3.4847322342091926
751,-3.0592601753671795
752,-3.7565242232960543
753,-2.7488603323963807
754,-1.4251544876476387
755,-2.9324272262772855
756,-2.5067166273855426
757,-1.8999777765987855
758,-1.3839247702186475
759,-1.3432807543760856
760,-1.9008962995205083
761,-0.4154771813946285
762,0.4881440061791633
763,-3.0199913743343516
764,-1.3359399707139847
765,-1.1695308117191243
766,3.02806435612581
767,-3.904258399000458
768,-2.913613947835528
769,-3.304185605947135
770,-3.4455039997346084
771,-0.8198682417430194
772,-3.448176913196622
773,-3.384411594459384
774,-4.230317485881967
775,-4.126543768445108
776,-3.9856095159839904
777,-3.181219707829574
778,-3.666986441573962
779,-3.2391224486671457
780,-4.87838326073649
781,-4.999788544792957
782,-4.7843824926414324
783,-3.9394800745202154
784,-4.0408493905258585
785,-3.543085654608955
786,-4.0872070050667855
787,-4.008007099445065
788,-3.8650734652469123
789,-4.003782653395259
790,-4.359645969530463
791,-3.584222687757146
792,-2.9100350253143215
793,-3.5454486651279318
794,-2.456319812380757
795,-3.041777906327914
796,-2.3192771262943497
797,-1.4906592906038663
798,-2.5714114185882226
799,-0.9894906605311399
800,-1.9853781071851697
801,-2.067237782955842
802,-0.28742038497186506
803,-0.6611023369970035
804,-1.921416166674728
805,-0.23536568556558302
806,-0.5446785630082581
807,3.406819180485054
808,-2.407930157463925
809,-1.6250184368470857
810,-2.592295410683046
811,-2.681160213248696
812,-0.7564716917613277
813,-5.383517995170073
814,-3.5018882232369526
815,-4.49046868195043
816,-4.3413245172459485
817,-3.9604925399680786
818,-6.143381530305245
819,-3.4698333960526995
820,-5.011207743824909
821,-4.99294310214286
822,-4.480759657248425
823,-3.419823405495976
824,-4.521011516725311
825,-3.886804969200073
826,-4.548556330935343
827,-4.518663979509098
828,-4.91688506772811
829,-3.465550539523687
830,-4.445069375815558
831,-3.954594905361853
832,-4.093314061501797
833,-4.1153226305643145
834,-3.81837602326668
835,-2.9585608031232695
836,-4.396699899676851
837,-2.352614614949342
838,-3.1435775180412504
839,-1.9289420638897798
840,-2.372175202540654
841,-2.3966464583483242
842,-1.5116462088174274
843,-1.1837498602192917
844,-2.1988711924716395
845,-0.2713274187885162
846,0.13596925740465265
847,-0.9313282738190718
848,2.370457053153119
849,-4.121806726953311
850,-0.8698621066902166
851,-2.793864861390144
852,-2.553954268229791
853,-0.9102035178175252
854,-4.297737007337403
855,-3.5819454462552516
856,-4.728561636007519
857,-4.453241544709773
858,-3.203283877256757
859,-4.1958922239071565
860,-4.011395298496014
861,-4.272921198582579
862,-4.893940515072502
863,-5.220326563462564
864,-5.165060959880087
865,-3.6256258586869556
866,-3.8786269261704254
867,-3.221639440394886
868,-4.467658484196572
869,-4.271897202454383
870,-4.92418631662693
871,-2.858893771774099
872,-2.7205782570132113
873,-4.363770432988658
874,-2.772126538674784
875,-2.1983341890637123
876,-3.57672392335999
877,-3.950722283281911
878,-1.8526468753797112
879,-1.558468077760904
880,-2.1010925293612446
881,-1.556111688413114
882,-0.42865407713682435
883,-1.544826212981481
884,-0.8543415563200072
885,-1.9960199700016106
886,-0.14182684302380044
887,-0.7629034001794808
888,-0.856542758059736
889,1.888957497591898
890,-4.356116332265522
891,-3.2331219082301104
892,-1.7803076378422782
893,-2.291991153542736
894,-0.7226812585654827
895,-4.65458982898801
896,-4.078484793425077
897,-4.188465577011126
898,-4.167780773300125
899,-4.811649029300589
900,-4.983579973332738
901,-4.943653044845501
902,-4.393186374515217
903,-3.966742982624607
904,-4.136761442712847
905,-5.965256525085701
906,-4.302377258389412
907,-4.802940768907705
908,-4.118700994084859
909,-4.898470203533646
910,-4.655829477688667
911,-4.9929503726682976
912,-3.825431850782163
913,-5.310130496501433
914,-3.532205087744134
915,-3.0930384893419722
916,-2.1266147418798895
917,-3.1135991193291765
918,-3.353156955418637
919,-2.2067680444793814
920,-1.739470276897129
921,-2.81581080137629
922,-2.1034228271156667
923,-1.3456102719236056
924,-0.6373293881544122
925,-1.3417356797787863
926,-0.2900079720275138
927,-0.42829861212539433
928,-1.444326560114682
929,-0.8572670183703299
930,1.7350919205577038
931,-3.3277960181872546
932,-3.0448368190166137
933,-2.558029811537884
934,-2.3557078406981025
935,-1.2416644238716097
936,-5.513966746087377
937,-4.253059191652465
938,-5.131119386636444
939,-4.541310399405406
940,-4.38047473369012
941,-3.7753751279515235
942,-3.8713646339603693
943,-4.168732374109928
944,-4.674237427335747
